Code	Source	Version	Label	Specific tsv download url	Specific sdmx download url	Latest tsv download url	Latest sdmx download url	mapping file
AMENITY	ESTAT	1.2	Amenities	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/AMENITY/1.2?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/AMENITY/1.2	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/AMENITY?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/AMENITY	
AM_ITEM	ESTAT	1.0	Agro-monetary items	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/AM_ITEM/1.0?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/AM_ITEM/1.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/AM_ITEM?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/AM_ITEM	
ANIMALS	ESTAT	3.0	Live animals	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/ANIMALS/3.0?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/ANIMALS/3.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/ANIMALS?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/ANIMALS	
ANNEX	ESTAT	1.2	Annex	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/ANNEX/1.2?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/ANNEX/1.2	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/ANNEX?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/ANNEX	
APPLICANT	ESTAT	1.1	Applicant type	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/APPLICANT/1.1?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/APPLICANT/1.1	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/APPLICANT?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/APPLICANT	
APPREHEN	ESTAT	1.2	Place of apprehension	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/APPREHEN/1.2?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/APPREHEN/1.2	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/APPREHEN?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/APPREHEN	
AQUAENV	ESTAT	1.2	Aquatic environment	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/AQUAENV/1.2?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/AQUAENV/1.2	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/AQUAENV?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/AQUAENV	
AQUAMETH	ESTAT	1.1	Aquaculture method	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/AQUAMETH/1.1?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/AQUAMETH/1.1	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/AQUAMETH?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/AQUAMETH	
ARABLE	ESTAT	4.0	Arable land area	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/ARABLE/4.0?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/ARABLE/4.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/ARABLE?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/ARABLE	
AREA	ESTAT	5.0	Area	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/AREA/5.0?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/AREA/5.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/AREA?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/AREA	
AREAPROT	ESTAT	2.1	Protected or protective area	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/AREAPROT/2.1?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/AREAPROT/2.1	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/AREAPROT?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/AREAPROT	
ARREARS	ESTAT	2.2	Arrears	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/ARREARS/2.2?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/ARREARS/2.2	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/ARREARS?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/ARREARS	
ASSESS	ESTAT	1.1	Assessment	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/ASSESS/1.1?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/ASSESS/1.1	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/ASSESS?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/ASSESS	
ASSET10	ESTAT	1.2	Assets (ESA 2010)	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/ASSET10/1.2?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/ASSET10/1.2	https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/codelist/ESTAT/ASSET10?format=TSV&formatVersion=2.0	https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/codelist/ESTAT/ASSET10	
